decision_threshold,precision,recall,f1_score,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives
0.3,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.35,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.4,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.45,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.5,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.55,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.6,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.65,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.7,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.75,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.8,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
0.85,0.1,1.0,0.1818,1.0,0.0,300,2700,0,0
