ScoreType,Threshold,Precision,Recall,F1-Score,FPR (%),FNR (%),Optimal
classifier_P(attack),0.35,0.9618,0.9698,0.9658,15.9%,3.0%,YES
classifier_P(attack),0.5,0.9648,0.9646,0.9647,14.6%,3.5%,
classifier_P(attack),0.65,0.9674,0.9532,0.9603,13.3%,4.7%,
classifier_P(attack),0.75,0.9750,0.9263,0.9500,9.8%,7.4%,
classifier_P(attack),0.85,0.9795,0.8901,0.9327,7.7%,11.0%,
classifier_search,0.1187,0.9517,0.9909,0.9709,20.8%,0.9%,SEARCH
RE_mu+0.5*sigma,1.965731,0.8125,0.0215,0.0419,2.1%,97.8%,RE_BEST
RE_mu+1.0*sigma,3.292381,0.7973,0.0122,0.0241,1.3%,98.8%,
RE_mu+1.5*sigma,4.619032,0.7797,0.0095,0.0188,1.1%,99.0%,
RE_mu+2.0*sigma,5.945682,0.7895,0.0062,0.0123,0.7%,99.4%,
RE_mu+2.5*sigma,7.272332,0.7714,0.0056,0.0111,0.7%,99.4%,
RE_mu+3.0*sigma,8.598982,0.7576,0.0052,0.0103,0.7%,99.5%,
